player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Aron",XNSdXZIPm0,2022-03-07T08:45:22.043Z,,2000,,3376,1376
"eirk",TUx4qf4j0V,2022-03-07T08:44:25.271Z,2022-03-07T09:41:26.636Z,2000,0,0,-2000
"Sam",QR-4gITocS,2022-03-07T07:28:36.175Z,2022-03-07T09:58:11.553Z,3000,6474,0,3474
"Aron",XNSdXZIPm0,2022-03-07T07:26:11.054Z,2022-03-07T08:43:38.233Z,2000,0,0,-2000
"parker",bqM1DvBQdT,2022-03-07T07:22:43.958Z,2022-03-07T08:21:05.622Z,2000,0,0,-2000
"garrett",f16AZW6thT,2022-03-07T06:54:59.331Z,2022-03-07T10:54:43.746Z,2000,2626,0,626
"Zach",1AxFP37bPc,2022-03-07T06:39:20.962Z,,3000,,15229,12229
"Sam",QR-4gITocS,2022-03-07T06:37:58.550Z,2022-03-07T07:27:22.118Z,3000,0,0,-3000
"parker",bqM1DvBQdT,2022-03-07T06:37:58.546Z,2022-03-07T07:20:37.488Z,2000,0,0,-2000
"Noah Mirza",hvFAi57e8x,2022-03-07T06:08:25.978Z,,2000,,6407,4407
"Rohan",cb_1tyfgts,2022-03-07T06:06:04.868Z,2022-03-07T10:46:31.473Z,2000,2188,0,188
"alex w",c49wS0KcpX,2022-03-07T06:06:04.864Z,2022-03-07T07:56:35.244Z,2000,0,0,-2000
"josh",gmjEyyJIH3,2022-03-07T06:06:04.873Z,2022-03-07T07:09:31.463Z,2000,0,0,-2000
"Jurgen",HjRMSmj5NR,2022-03-07T06:06:04.869Z,2022-03-07T08:00:35.659Z,2000,1580,0,-420
"parker",bqM1DvBQdT,2022-03-07T06:06:04.874Z,2022-03-07T06:37:10.710Z,2000,0,0,-2000
"Noah Mirza",hvFAi57e8x,2022-03-07T06:06:04.871Z,2022-03-07T06:07:17.425Z,2000,0,0,-2000
"Aron",XNSdXZIPm0,2022-03-07T06:06:04.866Z,2022-03-07T07:24:15.279Z,3000,0,0,-3000
